,tweet_id,text,class
0,9725643670,fuentes sobre el terremoto en chile http://bit.ly/auedsj,1
1,9725759250,sube el parte de víctimas: las autoridades chilenas informan de que al menos 64 personas fallecieron en las... http://bit.ly/awx73m,1
2,9725877906,despierta desde el terremoto y no puedo pegar un ojo #terremotochile,0
3,9726077826,en magallanes estamos muy preocupados por parral y concepció,0
4,9721410480,waaa no podre dormir por lo del temblor &gt;_&lt; que tal si llega aqui una repliquilla por ahi &gt;...&lt;,0
5,9721475512,#internetnecesario rt @ac_scl se recogió el mar en algarrobo informa radio bio bio!! // precaucion ante tsunami @drpisanty sismologicos wrld,1
6,9721491641,...ssssshhh... ¡ no twitteen muy alto lo del #terremotochile que van a despertar a cir,0
7,9721522197,rt: @larepublica_pe: toda la información recabada hasta el momento sobre el sismo en chile http://bit.ly/bpj7iv #terremotochile,1
8,9721537027,@nitosarmiento mandame los numeros para avisar,0
9,9721570504,aplausos para la periodista de tv chil,0
10,9721556625,rt @candeladangelo: la del noticiero de chile es una capa miren la onda qe le pone la min,0
11,9721677425,vamos todavía hermanos chilenos...! un abrazo solidario para lo que queda de noche,0
12,9721699651,rt @ginsuap: todo el apoyo a los amigos chilenos!! vamo arribaaaaa,0
13,9721956162,chamoooo el temblor se produjo fue en el oceano pacificooo 90 km cerca de la ciudad de santiagoo tan (cont) http://tl.gd/c6nbi,1
14,9721992218,la gente esta muy muy asustada aun! :s fuerza chile! #terremotochile  (#moteconhuesillo live at http://ustre.am/cug7),0
15,9722047987,rt http://www.diariouno.com.ar/ http://www.losandes.com.ar/ y http://www.mdzol.com/ noticias del terremoto en argentina,1
16,9722066324,transito en providencia cortad,1
17,9722063416,rt @jerld: rt @stefaniam: omg!  rt @noticiasvenezue: cnn informa de olas de 9 metros en chile y perú #terremotochile,1
18,9722101207,en mendoza cinco replicas...fuck qiero saber como esta mi amiga :|,1
19,9722234412,rt @noticiasvenezue se confirman 3157 muertes hasta ahora por el viceministro del interior chileno #terremotochile &gt;pinche chavez mentiroso,1
20,9722252727,@omarzh om estoy en un cerro en isla negr,0
21,9722439317,en estos momentos veo mucho inmigrante peruano en las calles con miedo por regresar a los precarios cités en el centro de santiago.,1
22,9722531801,oficialmente  @roycampos han dado ese grado en chile o sólo podemos usar ese comparativo que compartio @apisanty ?,0
23,9722585916,reporte del #terremotoenchile http://pastebin.com/xzvhqktg por @nediaz #chile,1
24,9722705736,chile demuestra su desarrollo ayer con la grandeza del festival hoy en la coordinada atención ante la emergencia de un terremoto...,0
25,9722703329,rt @montesdetoledo: el terremoto que ha sacudido chile es el 2º mayor en los últimos 20 años en el mundo: http://bit.ly/96ydqb #terremot ...,1
